kernel,BM,BN,BK,TM,TN,M,N,K,threads,smem_bytes,avg_ms,gflops,correct,status,gpu
k10_warptiling,128,256,8,8,8,2048,2048,2048,256,12288,,,N/A,skipped_invalid_WMITER,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,128,256,16,4,4,2048,2048,2048,256,24576,6.7606,2541.17,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,128,256,16,4,8,2048,2048,2048,256,24576,6.3420,2708.89,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,128,256,16,8,4,2048,2048,2048,256,24576,6.6928,2566.93,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,128,256,16,8,8,2048,2048,2048,256,24576,,,N/A,skipped_invalid_WMITER,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,128,256,32,4,4,2048,2048,2048,256,49152,6.5142,2637.30,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,128,256,32,4,8,2048,2048,2048,256,49152,6.7797,2534.00,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,128,256,32,8,4,2048,2048,2048,256,49152,6.5575,2619.88,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,128,256,32,8,8,2048,2048,2048,256,49152,,,N/A,skipped_invalid_WMITER,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,256,64,8,4,4,2048,2048,2048,128,10240,6.7928,2529.15,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,256,64,8,4,8,2048,2048,2048,128,10240,6.8384,2512.27,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,256,64,8,8,4,2048,2048,2048,128,10240,7.0271,2444.79,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,256,64,8,8,8,2048,2048,2048,128,10240,,,N/A,skipped_invalid_WMITER,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,256,64,16,4,4,2048,2048,2048,128,20480,6.3413,2709.19,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,256,64,16,4,8,2048,2048,2048,128,20480,6.8367,2512.90,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,256,64,16,8,4,2048,2048,2048,128,20480,6.2775,2736.75,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,256,64,16,8,8,2048,2048,2048,128,20480,,,N/A,skipped_invalid_WMITER,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,256,64,32,4,4,2048,2048,2048,128,40960,7.2803,2359.76,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,256,64,32,4,8,2048,2048,2048,128,40960,7.8241,2195.76,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,256,64,32,8,4,2048,2048,2048,128,40960,7.4759,2298.03,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,256,64,32,8,8,2048,2048,2048,128,40960,,,N/A,skipped_invalid_WMITER,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,256,128,8,4,4,2048,2048,2048,256,12288,7.1477,2403.54,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,256,128,8,4,8,2048,2048,2048,256,12288,6.9561,2469.74,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,256,128,8,8,4,2048,2048,2048,256,12288,7.0080,2451.47,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,256,128,8,8,8,2048,2048,2048,256,12288,,,N/A,skipped_invalid_WMITER,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,256,128,16,4,4,2048,2048,2048,256,24576,6.5548,2620.95,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,256,128,16,4,8,2048,2048,2048,256,24576,6.3226,2717.22,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,256,128,16,8,4,2048,2048,2048,256,24576,6.6987,2564.66,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,256,128,16,8,8,2048,2048,2048,256,24576,,,N/A,skipped_invalid_WMITER,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,256,128,32,4,4,2048,2048,2048,256,49152,6.6969,2565.34,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,256,128,32,4,8,2048,2048,2048,256,49152,6.7742,2536.08,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,256,128,32,8,4,2048,2048,2048,256,49152,6.7273,2553.77,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,256,128,32,8,8,2048,2048,2048,256,49152,,,N/A,skipped_invalid_WMITER,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,256,256,8,4,4,2048,2048,2048,512,16384,778.9154,22.06,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
